Label,Result
Ultimate Frisbee,0.5232309697110287
Gaelic Football,0.43852214695462843
Hurling,0.4095238109400882
Beach Soccer,0.521544954346982
Dragon Boat Racing,0.5058813147355448
Tchoukball,0.4805145934361328
Netball,0.49320253523344415
Roller Derby,0.4991263416611764
Baseball,0.6139218601807841
Basketball,
Cricket,0.6216166861304213
Field Hockey,0.6554996499487776
Flag football,0.5043838505937636
Football,0.7355163757105101
Handball,0.5414717757080949
Lacrosse,0.501244893207978
Rugby,0.5248204764481128
Tug of War,0.5245847432818916
Volleyball,0.7198717680018657
Mixed Martial Arts (MMA),0.5355454090253102
Kickboxing,0.4376671036727381
"Martial Arts (Karate, Kung Fu)",0.5859619268582312
Sumo,0.4319165266275136
Boxing,0.35016771473760117
Judo,0.5390755624949796
Karate,0.5461524803773461
Taekwondo,0.5435097278721263
Wrestling,0.5583674069720064
Table Football (Foosball),0.5146137070997284
Billiards (Pool),0.5866912078240365
Padel,0.5018376898209069
Pickleball,0.5435103020037199
Basque Pelota,0.45598277787018243
Diving,0.6010285822440791
Fencing,0.5726149218049685
Badminton,0.6319966151176982
Breaking,0.5816708209458068
Jeu de Paume,0.46181851641256266
Rackets,0.5098530712781228
Squash,0.5294240930484808
Table Tennis,0.5906769763333654
Tennis,0.7307611952271877
Bowling,0.5460166035762802
Darts,0.5311621057929117
Mountain Biking,0.5289681350386006
"Climbing (Bouldering, Traditional Climbing)",0.5019095608300901
Orienteering,0.5351875804311556
Parkour,0.5029979084903807
Skeet Shooting,0.4764338630595804
Disc Golf,0.47851506419228634
Baton Twirling,0.47063730640611967
DanceSport (Competitive Dance),0.5486466263303558
Foilboarding (Hydrofoil Surfing),0.47627307313788286
Sandboarding,0.479243848540052
Adventure Racing,0.4897196495124927
Wood Chopping,0.45478062786915757
Freediving,0.4609536845753876
Artistic Swimming,0.5518814521537319
Marathon Swimming (aka open water swimming),0.5613201292441221
Swimming,0.7227448007537871
Canoeing,0.5676368995628196
Cycling,0.5992060441287567
Equestrian,0.3895541917840591
Golf,0.5500114091388144
Modern Pentathlon,0.48062235339317677
Coastal Rowing,0.4817666541663881
Roque,0.47489706678580385
Sailing,0.5260413554872452
Skateboarding,0.5261788160457812
Surfing,0.5573988288192081
Triathlon,0.5417212225179378
Weightlifting,0.49851058179607066
"Auto Racing (e.g., Formula 1, NASCAR)",0.475044267101023
Drag Racing,0.4125266140178404
Motocross,0.31010043948866756
Enduro Motorcycle Racing,0.2599257160500488
Water Motorsports,0.3772463462266162
